team,league,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
"Atlanta Braves",NL,60,2074,348,556,130,3,103,338,239,573,23,4
"Los Angeles Dodgers",NL,60,2042,349,523,97,6,118,327,228,471,29,8
"New York Mets",NL,60,2023,286,551,106,7,86,278,197,498,20,10
"San Diego Padres",NL,60,1972,325,506,103,12,95,312,204,479,55,13
"New York Yankees",AL,60,1915,315,473,87,7,94,301,251,480,27,7
"San Francisco Giants",NL,60,2019,299,532,107,14,81,290,195,499,19,8
"Philadelphia Phillies",NL,60,1948,306,500,90,10,82,289,229,480,35,8
"Chicago White Sox",AL,60,2047,306,534,94,6,96,294,179,571,20,8
"Boston Red Sox",AL,60,2083,292,552,118,7,81,278,187,545,31,9
"Washington Nationals",NL,60,1968,293,519,112,12,66,279,192,451,33,12
"Toronto Blue Jays",AL,60,2023,302,516,104,4,88,288,203,508,33,6
"Los Angeles Angels",AL,60,2020,294,501,97,8,85,285,239,490,21,8
"Tampa Bay Rays",AL,60,1975,289,470,105,12,80,274,243,608,48,9
"Baltimore Orioles",AL,60,2026,274,523,102,7,77,264,164,514,19,14
"Minnesota Twins",AL,60,1937,269,468,81,3,91,258,186,528,14,7
"Houston Astros",AL,60,1992,279,478,103,12,69,268,192,440,22,11
"Oakland Athletics",AL,60,1908,274,430,91,11,71,264,238,524,26,3
"Colorado Rockies",NL,60,2057,275,528,84,16,63,264,161,543,42,9
"Cincinnati Reds",NL,60,1842,243,390,76,3,90,237,239,534,28,9
"Kansas City Royals",AL,60,1988,248,485,97,7,68,237,172,527,49,20
"Chicago Cubs",NL,60,1918,265,422,82,8,74,248,229,568,24,10
"Arizona Diamondbacks",NL,60,1997,269,482,101,12,58,255,181,461,23,7
"Miami Marlins",NL,60,1935,263,472,82,5,60,247,191,537,51,14
"Milwaukee Brewers",NL,60,1920,247,429,83,5,75,238,221,582,15,11
"Detroit Tigers",AL,58,1893,249,463,78,12,62,242,147,567,19,6
"St. Louis Cardinals",NL,58,1752,240,410,73,7,51,231,205,477,18,10
"Cleveland Indians",AL,60,1959,248,446,96,5,59,234,239,517,25,10
"Seattle Mariners",AL,60,1929,254,435,88,5,60,244,207,545,50,16
"Texas Rangers",AL,60,1936,224,420,80,9,62,204,167,548,49,14
"Pittsburgh Pirates",NL,60,1932,219,425,76,6,59,210,167,521,16,11
